,id,name,genre,sub_genre,followers
189,3jOstUTkEu2JkjvRdBA5Gu,Weezer,rock,"['alternative rock', 'modern power pop', 'modern rock', 'permanent wave', 'rock']",2671810
190,3FUY2gzHeIiaesXtOAdB7A,Train,pop,"['dance pop', 'neo mellow', 'pop', 'pop rock']",4014456
191,5IcR3N7QB1j6KBL8eImZ8m,ScHoolboy Q,rap,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']",4162433
192,5gCRApTajqwbnHHPbr2Fpi,Juicy J,rap,"['crunk', 'dirty south rap', 'gangster rap', 'hip hop', 'memphis hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",2829551
193,2W8yFh0Ga6Yf3jiayVxwkE,Dove Cameron,pop,"['pop', 'post-teen pop']",3394456
194,3e7awlrlDSwF3iM0WBjGMp,Little Mix,pop,"['dance pop', 'girl group', 'pop', 'post-teen pop', 'talent show', 'uk pop']",10320463
195,56ZTgzPBDge0OvCGgMO3OY,Beach House,pop,"['baltimore indie', 'dream pop', 'dreamo', 'modern dream pop']",1504996
196,6UBA15slIuadJ8h2lPRPos,Tech N9ne,pop,"['hip hop', 'kansas city hip hop', 'pop rap']",2446337
197,70kkdajctXSbqSMJbQO424,Kacey Musgraves,pop,"['contemporary country', 'country dawn', 'pop', 'texas country']",1128258
198,2oX42qP5ineK3hrhBECLmj,Andy Grammer,pop,"['dance pop', 'modern rock', 'neo mellow', 'pop', 'pop rap', 'pop rock', 'post-teen pop']",1058034
199,0YinUQ50QDB7ZxSCLyQ40k,Mustard,rap,"['cali rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",964689
200,53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,rock,"['modern rock', 'rock']",39946662
201,1YK8JdPbiaMSnf4hrlBkGT,Pepper,rock,"['reggae fusion', 'reggae rock']",330266
202,3WrFJ7ztbogyGnTHbHJFl2,The Beatles,rock,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",22624035
203,0CEFCo8288kQU7mJi25s6E,Hollywood Undead,rock,"['alternative metal', 'modern rock', 'nu metal', 'rap metal', 'rap rock', 'rock']",2175187
205,2cnMpRsOVqtPMfq7YiFE6K,Van Halen,rock,"['album rock', 'classic rock', 'hard rock', 'metal', 'rock']",4711157
