,id,name,artist_id,artist,album_id,album,popularity,playlist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1526,7AUhck1sPy11OExQmDDx4P,De Vuelta Pa' La Vuelta,4VMYDCV2IEDYJArk749S6m,Daddy Yankee,1mFvOlraT4JKt4D7aGb9tc,De Vuelta Pa' La Vuelta,69,19,0.665,0.94,5,-3.606,1,0.0553,0.434,0.0,0.0914,0.752,93.725,231593,4
1527,2Gq636OOGgxCTqEuzCZhsa,"Tiago PZK: Bzrp Music Sessions, Vol. 48",716NhGYqD1jl2wI1Qkgq36,Bizarrap,1LDCTu0ZfGLtWAzV82Pop0,"Tiago PZK: Bzrp Music Sessions, Vol. 48",83,16,0.656,0.823,1,-3.059,0,0.315,0.47,0.0,0.103,0.755,96.474,160000,4
1528,1ZN2Dat0KrO0xqr9t8QP9r,Dejaría Todo,0eecdvMrqBftK0M1VKhaF4,CNCO,3gLXoSKX6H6l1ulUYZTYvz,Déjà Vu,66,16,0.702,0.758,9,-4.405,1,0.278,0.14,0.0,0.111,0.837,167.915,188598,4
1529,63aj87TQG6F3RVO5nbG2VQ,In Da Getto,1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,2M7g0SNXnSq7j5BgYJYJsl,In Da Getto,76,16,0.915,0.72,8,-3.126,1,0.0459,0.025,1.42e-05,0.0942,0.631,126.986,131067,4
1530,63aj87TQG6F3RVO5nbG2VQ,In Da Getto,1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,2M7g0SNXnSq7j5BgYJYJsl,In Da Getto,76,16,0.915,0.72,8,-3.126,1,0.0459,0.025,1.42e-05,0.0942,0.631,126.986,131067,4
1531,63aj87TQG6F3RVO5nbG2VQ,In Da Getto,1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,2M7g0SNXnSq7j5BgYJYJsl,In Da Getto,76,19,0.915,0.72,8,-3.126,1,0.0459,0.025,1.42e-05,0.0942,0.631,126.986,131067,4
1532,63aj87TQG6F3RVO5nbG2VQ,In Da Getto,1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,2M7g0SNXnSq7j5BgYJYJsl,In Da Getto,76,19,0.915,0.72,8,-3.126,1,0.0459,0.025,1.42e-05,0.0942,0.631,126.986,131067,4
1533,21N4Buj4xsyLb218lYle61,Chica Ideal,07YUOmWljBTXwIseAUd9TW,Sebastian Yatra,7aS92ROK5rixV65VSRGPct,Chica Ideal,71,16,0.574,0.891,0,-3.665,0,0.157,0.0847,0.0,0.16,0.707,100.978,183240,4
1534,43qcs9NpJhDxtG91zxFkj7,Fiel - Remix,3E6xrwgnVfYCrCs0ePERDz,Wisin,1jBESH0DEFN7z8WH8B0B5c,Fiel (Remix),73,16,0.839,0.711,6,-4.733,0,0.0473,0.398,2.02e-06,0.118,0.573,97.99,349547,4
1535,5u7twkeask1VIyDeNTElSU,Sal y Perrea,77ziqFxp5gaInVrF2lj4ht,Sech,3tRrovXWGrSfBU3MYHqsVJ,42,73,16,0.786,0.899,10,-0.515,1,0.127,0.192,0.000189,0.299,0.813,90.025,216510,4
1536,70uX4beGHc1nQikXveOknp,Mala Costumbre,0tmwSHipWxN12fsoLcFU3B,Manuel Turizo,1YJjyV8YutIhzL4MWAB1LY,Mala Costumbre,64,16,0.823,0.772,0,-4.935,1,0.0591,0.243,0.0,0.118,0.582,96.001,230728,4
1537,3wBKCNw7BFIalnqe4VXzdK,ADMV - Versión Urbana,1r4hJ1h58CWwUQe3MxPuau,Maluma,2icmaSfpEsztZeSqmlOOtz,ADMV (Versión Urbana),58,16,0.733,0.591,9,-4.046,1,0.148,0.217,0.0,0.0986,0.549,169.905,185263,4
1538,7k4t7uLgtOxPwTpFmtJNTY,Tusa,790FomKkXshlbRYZFtlgla,KAROL G,7mKevNHhVnZER3BLgI8O4F,Tusa,77,16,0.803,0.715,2,-3.28,1,0.298,0.295,0.000134,0.0574,0.574,101.085,200960,4
